"address","title","category","city","google_map_link","workhours","latitude","longitude","phone","avg_rating","rating_count","state","website"
"929 E 5600 S, Murray, UT 84121, United States","Murray Auto Repair","Auto repair shop","Murray","https://www.google.com/maps/place/Murray+Auto+Repair/data=!4m7!3m6!1s0x875289bcb08c3e93:0x7100897657bf20f4!8m2!3d40.6498854!4d-111.8650371!16s%2Fg%2F11v19_4x69!19sChIJkz6MsLyJUocR9CC_V3aJAHE?authuser=0&hl=en&rclk=1","Tuesday, 8:30 am to 11 pm; Wednesday, 8:30 am to 11 pm; Thursday, 8:30 am to 11 pm; Friday, 8:30 am to 11 pm; Saturday, 8:30 am to 11 pm; Sunday, 8:30 am to 11 pm; Monday, 8:30 am to 11 pm. Hide open hours for the week","40.6498854","-111.8650371","+1 385-210-4344","4.7","248","Utah","murrayautorepairllc.com"
"1031 N State St Suite 3, Orem, UT 84057, United States","Roy's Auto Service","Auto repair shop","Orem","https://www.google.com/maps/place/Roy%27s+Auto+Service/data=!4m7!3m6!1s0x874d8525183369f1:0xc3ddf3d1d67eddc0!8m2!3d40.3160723!4d-111.7042785!16s%2Fg%2F1tjdgp3c!19sChIJ8WkzGCWFTYcRwN1-1tHz3cM?authuser=0&hl=en&rclk=1","Tuesday, 7:30 am to 5:30 pm; Wednesday, 7:30 am to 5:30 pm; Thursday, 7:30 am to 5:30 pm; Friday, 7:30 am to 1 pm; Saturday, Closed; Sunday, Closed; Monday, 7:30 am to 5:30 pm. Hide open hours for the week","40.3160723","-111.7042785","+1 801-224-7940","4.8","225","Utah","roysautoorem.com"
"1025 US-89, North Salt Lake, UT 84054, United States","Master AutoTech","Auto repair shop","North Salt Lake","https://www.google.com/maps/place/Master+AutoTech/data=!4m7!3m6!1s0x8752fefe6cc6ab1b:0x746ec43753a41c1f!8m2!3d40.8600201!4d-111.8981453!16s%2Fg%2F11bw4vzdd6!19sChIJG6vGbP7-UocRHxykUzfEbnQ?authuser=0&hl=en&rclk=1","Tuesday, 7:30 am to 6 pm; Wednesday, 7:30 am to 6 pm; Thursday, 7:30 am to 6 pm; Friday, 7:30 am to 6 pm; Saturday, 7:30 am to 5 pm; Sunday, Closed; Monday, 7:30 am to 6 pm. Hide open hours for the week","40.8600201","-111.8981453","+1 801-682-4406","4.8","433","Utah","masterauto.tech"
"38 N 200 W Unit B, Lehi, UT 84043, United States","One Call Automotive Repair","Auto repair shop","Lehi","https://www.google.com/maps/place/One+Call+Automotive+Repair/@40.388299,-111.8517566,17z/data=!3m1!4b1!4m6!3m5!1s0x874d81d41aa18461:0xbf93a24dbd5ea85f!8m2!3d40.388299!4d-111.8517566!16s%2Fg%2F11hd6wn9_c?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDUxMS4wIKXMDSoASAFQAw%3D%3D","Tuesday, 8:30 am to 5 pm; Wednesday, 8:30 am to 5 pm; Thursday, 8:30 am to 5 pm; Friday, 8:30 am to 3:30 pm; Saturday, Closed; Sunday, Closed; Monday, 8:30 am to 5 pm. Hide open hours for the week","40.388299","-111.8517566","+1 801-331-8065","4.9","372","Utah","onecallauto.com"
"673 E 1775 S, Orem, UT 84097, United States","Doug's Auto Repair Inc.","Auto repair shop","Orem","https://www.google.com/maps/place/Doug%27s+Auto+Repair+Inc./data=!4m7!3m6!1s0x874d9a64bbfe0211:0x5002a66624dfd5a8!8m2!3d40.2649169!4d-111.6790657!16s%2Fg%2F1tpll69x!19sChIJEQL-u2SaTYcRqNXfJGamAlA?authuser=0&hl=en&rclk=1","Tuesday, 8 am to 6 pm; Wednesday, 8 am to 6 pm; Thursday, 8 am to 6 pm; Friday, 8 am to 6 pm; Saturday, Closed; Sunday, Closed; Monday, 8 am to 6 pm. Hide open hours for the week","40.2649169","-111.6790657","+1 801-224-4055","4.9","432","Utah","dougsautorepairutah.com"
"6906 Cottonwood St, Midvale, UT 84047, United States","Precision Automotive of Utah","Auto repair shop","Midvale","https://www.google.com/maps/place/Precision+Automotive+of+Utah/data=!4m7!3m6!1s0x875289a8836f0965:0xec9f3e02aa35c3a8!8m2!3d40.6260395!4d-111.8999036!16s%2Fg%2F1tf_tbhv!19sChIJZQlvg6iJUocRqMM1qgI-n-w?authuser=0&hl=en&rclk=1","Tuesday, 8 am to 5 pm; Wednesday, 8 am to 5 pm; Thursday, 8 am to 5 pm; Friday, 8 am to 5 pm; Saturday, Closed; Sunday, Closed; Monday, 8 am to 5 pm. Hide open hours for the week","40.6260395","-111.8999036","+1 385-786-6623","4.9","651","Utah","precisionautomotiveofutah.com"
"956 Industrial Park Rd, Orem, UT 84057, United States","Utah Auto Repair Services","Auto repair shop","Orem","https://www.google.com/maps/place/Utah+Auto+Repair+Services/@40.3146777,-111.7276563,17z/data=!3m1!4b1!4m6!3m5!1s0x874d9aa3830d06db:0x92ac5761cbe25a36!8m2!3d40.3146777!4d-111.7276563!16s%2Fg%2F11cnp1v8zh?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDUxMS4wIKXMDSoASAFQAw%3D%3D","Tuesday, 9 am to 6 pm; Wednesday, 9 am to 6 pm; Thursday, 9 am to 6 pm; Friday, 9 am to 6 pm; Saturday, 10 am to 3 pm; Sunday, Closed; Monday, 9 am to 6 pm. Hide open hours for the week","40.3146777","-111.7276563","+1 801-589-0010","5.0","206","Utah","utahautorepairservices.com"
"196 Sugar St Suite 5, Layton, UT 84041, United States","All Repair Auto Care LLC","Auto repair shop","Layton","https://www.google.com/maps/place/All+Repair+Auto+Care+LLC/data=!4m7!3m6!1s0x875303b2c7ec8031:0x7e2c9d4153ba572f!8m2!3d41.063058!4d-111.9860589!16s%2Fg%2F1td33jhk!19sChIJMYDsx7IDU4cRL1e6U0GdLH4?authuser=0&hl=en&rclk=1","Tuesday, 8 am to 5 pm; Wednesday, 8 am to 5 pm; Thursday, 8 am to 5 pm; Friday, 8 am to 5 pm; Saturday, 9 am to 4 pm; Sunday, Closed; Monday, 8 am to 5 pm. Hide open hours for the week","41.063058","-111.9860589","+1 801-444-9995","4.8","328","Utah","allrepairautocare.com"
"102 S State St, Orem, UT 84058, United States","Master Tech Auto Services","Auto repair shop","Orem","https://www.google.com/maps/place/Master+Tech+Auto+Services/data=!4m7!3m6!1s0x874d84ea83aab3b5:0x6c1ea6648bf6b408!8m2!3d40.2953464!4d-111.694767!16s%2Fg%2F11clzhyh2_!19sChIJtbOqg-qETYcRCLT2i2SmHmw?authuser=0&hl=en&rclk=1","Tuesday, 9 am to 6 pm; Wednesday, 9 am to 6 pm; Thursday, 9 am to 6 pm; Friday, 9 am to 6 pm; Saturday, 9 am to 1 pm; Sunday, Closed; Monday, 9 am to 6 pm. Hide open hours for the week","40.2953464","-111.694767","+1 801-228-1688","4.8","101","Utah","mastertech.repair"
"3399 W 8395 S, West Jordan, UT 84088, United States","Ace Auto Repair","Auto repair shop","West Jordan","https://www.google.com/maps/place/Ace+Auto+Repair/data=!4m7!3m6!1s0x87528da50f5eec09:0xa9a49772242cba2a!8m2!3d40.598369!4d-111.9725165!16s%2Fg%2F11bbrgy68v!19sChIJCexeD6WNUocRKrosJHKXpKk?authuser=0&hl=en&rclk=1","Tuesday, 9 am to 6 pm; Wednesday, 9 am to 6 pm; Thursday, 9 am to 6 pm; Friday, 9 am to 6 pm; Saturday, 9 am to 6 pm; Sunday, Closed; Monday, Closed. Hide open hours for the week","40.598369","-111.9725165","+1 801-803-6016","4.7","554","Utah","aceautoutah.com"
