"address","title","category","city","google_map_link","workhours","latitude","longitude","phone","avg_rating","rating_count","state","website"
"6451 Mill Creek Canyon Rd, Salt Lake City, UT 84109, United States","Log Haven","New American restaurant","Salt Lake City","https://www.google.com/maps/place/Log+Haven/data=!4m7!3m6!1s0x87526144fb581109:0xc4b28478ff4aebd!8m2!3d40.6982751!4d-111.7266011!16s%2Fg%2F1tdyr875!19sChIJCRFY-0RhUocRva70j0coSww?authuser=0&hl=en&rclk=1","Tuesday, 5:30 to 9 pm; Wednesday, 5:30 to 9 pm; Thursday, 5:30 to 9 pm; Friday, 5:30 to 9 pm; Saturday, 5:30 to 9 pm; Sunday, 5:30 to 9 pm; Monday, 5:30 to 9 pm. Hide open hours for the week","40.6982751","-111.7266011","+1 801-272-8255","4.7","1740","Utah","log-haven.com"
"19 N University Ave, Provo, UT 84601, United States","Black Sheep Cafe","Native American restaurant","Provo","https://www.google.com/maps/place/Black+Sheep+Cafe/data=!4m7!3m6!1s0x874d97536d3a43e7:0xbb3b993934429c54!8m2!3d40.2342829!4d-111.6590597!16s%2Fg%2F11g_cgcyv!19sChIJ50M6bVOXTYcRVJxCNDmZO7s?authuser=0&hl=en&rclk=1","Tuesday, 11:30 am to 2:30 pm, 5 to 9 pm; Wednesday, 11:30 am to 2:30 pm, 5 to 9 pm; Thursday, 11:30 am to 2:30 pm, 5 to 9 pm; Friday, 11:30 am to 2:30 pm, 5 to 9:30 pm; Saturday, 12 to 3 pm, 5 to 9:30 pm; Sunday, Closed; Monday, 11:30 am to 2:30 pm, 5 to 9 pm. Hide open hours for the week","40.2342829","-111.6590597","+1 801-607-2485","4.5","1637","Utah","blacksheepcafe.com"
"9565 Wasatch Blvd, Sandy, UT 84092, United States","La Caille Restaurant",,"Cottonwood Heights","https://www.google.com/maps/place/La+Caille+Restaurant/data=!4m7!3m6!1s0x87527cc3475aa1d7:0xf7d52f151b960c3c!8m2!3d40.5756556!4d-111.7921556!16s%2Fg%2F1v8l02dy!19sChIJ16FaR8N8UocRPAyWGxUv1fc?authuser=0&hl=en&rclk=1",,"40.5756556","-111.7921556","+1 801-942-1751","4.5","1456","Utah","lacaille.com"
"8841 N Alpine Lp Rd, Sundance, UT 84604, United States","The Tree Room at Sundance Resort","American restaurant","Provo","https://www.google.com/maps/place/The+Tree+Room+at+Sundance+Resort/data=!4m7!3m6!1s0x874d8ea4b59b053b:0x47f0036377afc2d5!8m2!3d40.39227!4d-111.5786397!16s%2Fg%2F1tl0xtrk!19sChIJOwWbtaSOTYcR1cKvd2MD8Ec?authuser=0&hl=en&rclk=1","Tuesday, Closed; Wednesday, 5 to 9 pm; Thursday, 5 to 9 pm; Friday, 5 to 9 pm; Saturday, 5 to 9 pm; Sunday, Closed; Monday, Closed. Hide open hours for the week","40.39227","-111.5786397","+1 801-223-4200","4.6","445","Utah","sundanceresort.com"
"1457 E 3350 S, Salt Lake City, UT 84106, United States","Table X","American restaurant","Salt Lake City","https://www.google.com/maps/place/Table+X/data=!4m7!3m6!1s0x875261d3e4d083a5:0x7287d6f40d42e31f!8m2!3d40.6990987!4d-111.8498486!16s%2Fg%2F11cs1lfljq!19sChIJpYPQ5NNhUocRH-NCDfTWh3I?authuser=0&hl=en&rclk=1","Tuesday, Closed; Wednesday, 5 to 9 pm; Thursday, 5 to 9 pm; Friday, 5 to 9 pm; Saturday, 5 to 9 pm; Sunday, Closed; Monday, Closed. Hide open hours for the week","40.6990987","-111.8498486","+1 385-528-3712","4.6","726","Utah","tablexrestaurant.com"
"11516 District Main Dr #500, South Jordan, UT 84095, United States","The Wild Rose","Fine dining restaurant","South Jordan","https://www.google.com/maps/place/The+Wild+Rose/data=!4m7!3m6!1s0x8752859680cd0953:0xa8921434b9e37d34!8m2!3d40.542558!4d-111.980981!16s%2Fg%2F1tczqvd7!19sChIJUwnNgJaFUocRNH3juTQUkqg?authuser=0&hl=en&rclk=1","Tuesday, 5 to 9 pm; Wednesday, 5 to 9 pm; Thursday, 5 to 9 pm; Friday, 5 to 9:30 pm; Saturday, 5 to 9:30 pm; Sunday, Closed; Monday, 5 to 9 pm. Hide open hours for the week","40.542558","-111.980981","+1 801-790-7673","4.6","447","Utah","wildrose-district.com"
"20 UT-12, Boulder, UT 84716, United States","Hell's Backbone Grill & Farm","American restaurant","Boulder","https://www.google.com/maps/place/Hell%27s+Backbone+Grill+%26+Farm/data=!4m7!3m6!1s0x8735f4581f7cdeb3:0x8c2850804cb69ac6!8m2!3d37.9023971!4d-111.4238739!16s%2Fg%2F11b7_s4xzc!19sChIJs958H1j0NYcRxpq2TIBQKIw?authuser=0&hl=en&rclk=1","Tuesday, Closed; Wednesday, Closed; Thursday, 4 to 9 pm; Friday, 4 to 9 pm; Saturday, 4 to 9 pm; Sunday, 4 to 9 pm; Monday, 4 to 9 pm. Hide open hours for the week","37.9023971","-111.4238739","+1 435-335-7464","4.7","1032","Utah","hellsbackbonegrill.com"
"6263 Holladay Blvd E, Holladay, UT 84121, United States","Franck's Restaurant","Fusion restaurant","Cottonwood Heights","https://www.google.com/maps/place/Franck%27s+Restaurant/data=!4m7!3m6!1s0x875262548bcf0b75:0xec572f287c20d89c!8m2!3d40.6373949!4d-111.8116372!16s%2Fg%2F11btv6btb_!19sChIJdQvPi1RiUocRnNggfCgvV-w?authuser=0&hl=en&rclk=1","Tuesday, 5 to 9 pm; Wednesday, 5 to 9 pm; Thursday, 5 to 9 pm; Friday, 5 to 9:30 pm; Saturday, 5 to 9:30 pm; Sunday, 10:30 am to 2:30 pm, 5 to 8:30 pm; Monday, Closed. Hide open hours for the week","40.6373949","-111.8116372","+1 801-274-6264","4.7","737","Utah","francksfood.com"
"8256 S 700 E, Sandy, UT 84070, United States","Tiburon","Restaurant","Sandy","https://www.google.com/maps/place/Tiburon/data=!4m7!3m6!1s0x875288163b6c1f89:0x1897659e39fe18b4!8m2!3d40.6010641!4d-111.8725553!16s%2Fm%2F021cwp6!19sChIJiR9sOxaIUocRtBj-OZ5llxg?authuser=0&hl=en&rclk=1","Tuesday, 5 to 9 pm; Wednesday, 5 to 9 pm; Thursday, 5 to 9 pm; Friday, 5 to 9:30 pm; Saturday, 5 to 9:30 pm; Sunday, 5 to 9 pm; Monday, 5 to 9 pm. Hide open hours for the week","40.6010641","-111.8725553","+1 801-255-1200","4.7","940","Utah","tiburonfinedining.com"
"111 E Broadway #170, Salt Lake City, UT 84111, United States","The Copper Onion","American restaurant","Salt Lake City","https://www.google.com/maps/place/The+Copper+Onion/data=!4m7!3m6!1s0x8752f511e6e92fad:0x1060fd13b457b3cb!8m2!3d40.7630797!4d-111.8872299!16s%2Fg%2F1tdk5npk!19sChIJrS_p5hH1UocRy7NXtBP9YBA?authuser=0&hl=en&rclk=1","Tuesday, 11:30 am to 3 pm, 5 to 10 pm; Wednesday, 11:30 am to 3 pm, 5 to 10 pm; Thursday, 11:30 am to 3 pm, 5 to 10 pm; Friday, 11:30 am to 3 pm, 5 to 10 pm; Saturday, 10:30 am to 3 pm, 5 to 10 pm; Sunday, 10:30 am to 3 pm, 5 to 10 pm; Monday, 11:30 am to 3 pm, 5 to 10 pm. Hide open hours for the week","40.7630797","-111.8872299","+1 801-355-3282","4.4","3427","Utah","thecopperonion.com"
